class,cx_min,cx_max,cy_min,cy_max,width_min,width_max,height_min,height_max
battery,0.347943,0.625848,0.304997,0.574064,0.076588,0.286104,0.116773,0.305034
stone,0.322304,0.616980,0.319550,0.589540,0.059861,0.187775,0.069462,0.199300
can,0.369757,0.589197,0.357205,0.576421,0.310197,0.626368,0.302510,0.561868
bottle,0.365477,0.586056,0.292881,0.557083,0.199634,0.541859,0.220601,0.536963
paperCup,0.357576,0.605171,0.283012,0.583145,0.217760,0.441937,0.260982,0.484067
brick,0.343852,0.600119,0.297002,0.579567,0.107900,0.326114,0.128901,0.315639
carrot,0.331325,0.558447,0.336682,0.556334,0.120835,0.188815,0.132602,0.204252
china,0.345353,0.628042,0.316249,0.630848,0.063141,0.381033,0.078945,0.369319
pill,0.343001,0.596178,0.287763,0.581981,0.183990,0.441485,0.205897,0.469801
potato,0.257880,0.550368,0.267457,0.537066,0.154527,0.265053,0.186646,0.263154
potato_chip,0.359690,0.595096,0.330046,0.578752,0.114557,0.169060,0.120437,0.167661
radish,0.374139,0.571386,0.369035,0.579782,0.094022,0.230329,0.118138,0.221472
